Taxon, Area, MinAge, MaxAge, Latitude, Longitude, Locality
Ailurus fulgens, Asia, 0.6, 1.3, 25.2, 102.5, 1
Alopecocyon getti, Europe, 5.3, 7.1, 39.4, -0.4, 2
Alopecocyon getti, Europe, 15.2, 18, 45.9, 4.7, 3
Alopecocyon goeriachensis, Europe, 11.2, 12.5, 45.6, 5.2, 4
Alopecocyon goeriachensis, Europe, 11.608, 15.97, 43.5, 0.6, 5
Alopecocyon goeriachensis, Asia, 12.5, 15.2, 46, 89, 6
Alopecocyon goeriachensis, Europe, 12.5, 15.2, 43.9, -0.5, 7
Alopecocyon goeriachensis, Europe, 12.5, 15.2, 48.2, 17, 8
Alopecocyon goeriachensis, Europe, 12.75, 13.65, 48.2, 17, 9
Alopecocyon goeriachensis, Europe, 15.2, 17, 47.5, 15.3, 10
Alopecocyon goeriachensis, Europe, 15.2, 17, 47.5, 0.1, 11
Alopecocyon goeriachensis, Europe, 15.2, 17, 47.5, 0.2, 12
Alopecocyon goeriachensis, Europe, 15.2, 17, 47.5, 0, 13
Alopecocyon goeriachensis, Europe, 15.2, 17, 47.3, 0.8, 14
Alopecocyon leardi, NorthAmerica, 9, 10.1, 34.8, -119.3, 15
Alopecocyon leardi, NorthAmerica, 12.1, 12.1, 34.3, -119, 16
Alopecocyon parverratis, NorthAmerica, 13.6, 15.97, 39.2, -117.9, 17
Amphictis aginensis, Europe, 20, 22.8, 44.3, 0.6, 18
Amphictis antiqua, Europe, 15.97, 20.43, 47.5, 0, 19
Amphictis antiqua, Europe, 18, 20, 47.5, 0, 20
Amphictis antiqua, Europe, 18, 20, 47.4, 0.3, 21
Amphictis antiqua, Europe, 20, 22.8, 44.2, 6.2, 22
Amphictis antiqua, Europe, 20, 22.8, 46.5, 3.5, 23
Amphictis antiqua, Europe, 20, 22.8, 46.8, -1.3, 24
Amphictis antiqua, Europe, 20, 22.8, 51.1, 7.7, 25
Amphictis antiqua, Europe, 23.03, 33.9, 44, 0, 26
Amphictis borbonica, Europe, 20, 22.4, 50, 8.2, 27
Amphictis borbonica, Europe, 22.4, 23.03, 50, 8.3, 28
Amphictis cuspida, Asia, 13.263, 14.059, 40.2, 33.5, 29
Amphictis lemanensis, Europe, 20, 22.8, 46.8, -1.3, 24
Amphictis prolongata, Europe, 20, 22.4, 50, 8.2, 27
Amphictis prolongata, Europe, 22.4, 23.03, 50, 8.3, 28
Amphictis schlosseri, Europe, 20, 22.4, 50, 8.2, 27
Amphictis schlosseri, Europe, 22.4, 23.03, 50, 8.3, 28
Amphictis wintershofensis, Europe, 18, 20, 48.9, 11.2, 30
Magerictis imperialensis, Europe, 13.65, 16.9, 40.4, -3.7, 31
Magerictis imperialensis, Europe, 15.2, 17, 40.4, -3.7, 32
Parailurus anglicus, Europe, 1.806, 2.588, 52, 1.4, 33
Parailurus anglicus, Europe, 2.6, 3.4, 48.2, 20, 34
Parailurus anglicus, Europe, 3.4, 4.2, 50.4, 8.9, 35
Parailurus anglicus, Europe, 3.4, 4.2, 46, 25.6, 36
Parailurus anglicus, Europe, 3.4, 4.2, 48.2, 17.9, 37
Parailurus baikalicus, Europe, 3, 3.4, 51.4, 105.9, 38
Parailurus hungaricus, Europe, 1.95, 3.4, 44.9, 8, 39
Parailurus hungaricus, Europe, 2.6, 3.4, 44.5, 8, 40
Parailurus hungaricus, Europe, 2.6, 3.4, 48.2, 20, 34
Parailurus NorthAmerica, NorthAmerica, 2.5, 4.9, 47, -122.9, 41
Parailurus NorthAmerica, NorthAmerica, 3.3, 3.4, 47, -118.5, 42
Pristinailurus bristoli, NorthAmerica, 2.5, 5.9, 36.2, -86.8, 43
Pristinailurus bristoli, NorthAmerica, 10, 10, 36.4, -82.5, 44
Protursus simpsoni, Asia, 5.332, 8.7, 25, 102.1, 45
Protursus simpsoni, Europe, 9.491, 9.592, 41.5, 2.1, 46
Simocyon batalleri, Europe, 8.7, 9.7, 40.2, -3.8, 47
Simocyon batalleri, Europe, 9, 9.5, 40.2, -3.8, 48
Simocyon batalleri, Europe, 9.5, 11.2, 41.3, 2.1, 49
Simocyon diaphorus, Europe, 9.5, 11.2, 49.7, 9, 50
Simocyon diaphorus, Europe, 9.5, 10.35, 48.7, 20.6, 51
Simocyon diaphorus, Europe, 9.7, 11.1, 48.4, 20.6, 52
Simocyon hungaricus, Europe, 8.2, 9, 47.4, 18.5, 53
Simocyon marshi, NorthAmerica, 7.4, 7.4, 42.8, -112.9, 54
Simocyon marshi, NorthAmerica, 7.7, 7.8, 44.5, -119.3, 55
Simocyon primigenius, Asia, 5.3, 7.1, 39, 111, 56
Simocyon primigenius, Asia, 5.3, 7.1, 39, 111.1, 57
Simocyon primigenius, Asia, 5.3, 9, 37, 113, 58
Simocyon primigenius, Europe, 5.332, 11.608, 46.6, 29.7, 59
Simocyon primigenius, Europe, 7.1, 8.2, 42.5, 23.1, 60
Simocyon primigenius, Europe, 7.1, 8.2, 38.5, 24.2, 61
Simocyon primigenius, Europe, 7.1, 8.2, 38, 24, 62
Simocyon primigenius, Europe, 7.1, 9.5, 46.6, 29.7, 63
Simocyon primigenius, Europe, 7.1, 8.2, 40.4, -1.1, 64
Simocyon primigenius, Asia, 8.2, 9, 35.9, 103.8, 65
Allocyon loganensis, NorthAmerica, 28.4, 28.6, 44.7, -119.6, 66
